city,date,temperature_c_era5,humidity_pct_era5,rainfall_mm_era5,wind_speed_ms_era5,temperature_c_merra2,humidity_pct_merra2,rainfall_mm_merra2,wind_speed_ms_merra2
Agartala,2025-01-01,18.6,79,0.0,1.7,16.65,82.75,0.0,1.92
Agartala,2025-01-02,17.8,83,0.0,1.64,16.96,81.28,0.0,1.64
Agartala,2025-01-03,18.8,81,0.0,1.38,17.09,83.11,0.0,1.7
Agartala,2025-01-04,20.1,79,0.0,1.29,18.58,82.69,0.0,1.51
Agartala,2025-01-05,21.7,73,0.0,1.02,19.68,79.58,0.0,1.49
Agartala,2025-01-06,22.2,71,0.0,1.05,20.49,73.82,0.0,1.3
Agartala,2025-01-07,20.6,71,0.1,2.12,19.63,82.59,0.0,2.26
Agartala,2025-01-08,18.3,79,0.0,1.72,17.68,80.7,0.0,2.51
Agartala,2025-01-09,17.6,76,0.0,1.5,16.03,75.14,0.0,1.81
Agartala,2025-01-10,17.9,75,0.0,1.25,16.53,70.1,0.0,1.38
Agartala,2025-01-11,19.3,69,0.0,1.18,17.72,68.36,0.0,1.71
Agartala,2025-01-12,21.2,65,0.0,1.79,19.12,65.01,0.0,1.68
Agartala,2025-01-13,20.3,68,0.0,1.89,19.29,65.16,0.0,1.54
Agartala,2025-01-14,20.0,65,0.0,1.97,18.12,70.66,0.0,2.3
Agartala,2025-01-15,20.0,70,0.0,1.62,18.06,71.7,0.0,1.7
Agartala,2025-01-16,20.9,69,0.0,1.2,19.35,68.21,0.0,1.32
Agartala,2025-01-17,20.9,65,0.0,1.44,19.21,70.47,0.0,1.75
Agartala,2025-01-18,20.5,68,0.0,1.66,18.36,73.65,0.0,2.22
Agartala,2025-01-19,19.2,68,0.0,1.69,17.13,72.41,0.0,2.57
Agartala,2025-01-20,18.9,72,0.0,1.33,16.95,74.09,0.0,1.98
Agartala,2025-01-21,19.4,73,0.0,1.08,17.36,72.93,0.0,1.66
Agartala,2025-01-22,19.7,75,0.0,1.07,17.89,73.76,0.0,1.4
Agartala,2025-01-23,19.1,73,0.0,0.93,17.84,74.81,0.0,1.65
Agartala,2025-01-24,19.2,72,0.0,1.38,17.76,68.31,0.0,1.54
Agartala,2025-01-25,19.5,67,0.0,1.61,17.53,71.44,0.0,2.24
Agartala,2025-01-26,18.7,62,0.0,1.42,16.97,68.42,0.0,2.07
Agartala,2025-01-27,19.2,68,0.0,1.07,17.79,71.18,0.0,1.48
